Razão Social,CNPJ,Linhas de Fornecimento,Tipo,Situação Documento,Documento,Status,Data de Vencimento,Situação Análise Documento
BLUEGROUND AIRPORT SERVICES LTDA,48572080000186,"PRESTAÇÃO DE SERVIÇOS DE CONDUÇÃO DE VEÍCULOS PESADOS, PRESTAÇÃO DE SERVIÇOS DE MEDIÇÕES NA PISTA",SERVICO,REGULAR,CERTIDÃO JUDICIAL CRIMINAL - TRF,A vencer,2026-09-30T00:00:00Z,NÃO ANALISADO
BLUEGROUND AIRPORT SERVICES LTDA,48572080000186,"PRESTAÇÃO DE SERVIÇOS DE CONDUÇÃO DE VEÍCULOS PESADOS, PRESTAÇÃO DE SERVIÇOS DE MEDIÇÕES NA PISTA",SERVICO,REGULAR,CERTIDÃO JUDICIAL CÍVEL - TRF,A vencer,2026-09-30T00:00:00Z,NÃO ANALISADO
BLUEGROUND AIRPORT SERVICES LTDA,48572080000186,"PRESTAÇÃO DE SERVIÇOS DE CONDUÇÃO DE VEÍCULOS PESADOS, PRESTAÇÃO DE SERVIÇOS DE MEDIÇÕES NA PISTA",SERVICO,ALERTA,CERTIDÃO NEGATIVA RECEITA ESTADUAL,A vencer,,NÃO ANALISADO
BLUEGROUND AIRPORT SERVICES LTDA,48572080000186,"PRESTAÇÃO DE SERVIÇOS DE CONDUÇÃO DE VEÍCULOS PESADOS, PRESTAÇÃO DE SERVIÇOS DE MEDIÇÕES NA PISTA",SERVICO,REGULAR,CERTIFICADO DE REGULARIDADE FGTS,A vencer,2026-07-07T00:00:00Z,NÃO ANALISADO
BLUEGROUND AIRPORT SERVICES LTDA,48572080000186,"PRESTAÇÃO DE SERVIÇOS DE CONDUÇÃO DE VEÍCULOS PESADOS, PRESTAÇÃO DE SERVIÇOS DE MEDIÇÕES NA PISTA",SERVICO,REGULAR,CND Federal,A vencer,2026-12-29T00:00:00Z,NÃO ANALISADO
BLUEGROUND AIRPORT SERVICES LTDA,48572080000186,"PRESTAÇÃO DE SERVIÇOS DE CONDUÇÃO DE VEÍCULOS PESADOS, PRESTAÇÃO DE SERVIÇOS DE MEDIÇÕES NA PISTA",SERVICO,REGULAR,Cartão CNPJ,A vencer,2027-07-02T00:00:00Z,NÃO ANALISADO
BLUEGROUND AIRPORT SERVICES LTDA,48572080000186,"PRESTAÇÃO DE SERVIÇOS DE CONDUÇÃO DE VEÍCULOS PESADOS, PRESTAÇÃO DE SERVIÇOS DE MEDIÇÕES NA PISTA",SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-12-29T00:00:00Z,NÃO ANALISADO
BLUEGROUND AIRPORT SERVICES LTDA,48572080000186,"PRESTAÇÃO DE SERVIÇOS DE CONDUÇÃO DE VEÍCULOS PESADOS, PRESTAÇÃO DE SERVIÇOS DE MEDIÇÕES NA PISTA",SERVICO,ALERTA,Comprovante de Inscrição Sintegra,A vencer,,NÃO ANALISADO
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,CERTIDÃO JUDICIAL CRIMINAL - TRF,A vencer,2026-09-30T00:00:00Z,NÃO ANALISADO
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,CERTIDÃO JUDICIAL CÍVEL - TRF,A vencer,2026-09-30T00:00:00Z,NÃO ANALISADO
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,ALERTA,CERTIDÃO NEGATIVA RECEITA ESTADUAL,A vencer,,NÃO ANALISADO
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,CERTIFICADO DE REGULARIDADE FGTS,A vencer,2026-07-14T00:00:00Z,NÃO ANALISADO
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,CND Federal,A vencer,2026-12-29T00:00:00Z,NÃO ANALISADO
