Razão Social,CNPJ,Situação da Última Solicitação,Linhas de Fornecimento,Tipo,Documento,Status,Data de Vencimento,Situação Análise Documento
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CERTIDÃO NEGATIVA RECEITA MUNICIPAL,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CERTIFICADO DE REGULARIDADE FGTS,Vencido,2026-01-18T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CIPA - composição / reuniões / atas/ treinamento,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CND Federal,Vencido,2026-06-08T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CONSULTA ATUALIZADA DE OPTANTE DO SIMPLES NACIONAL,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,CONVENÇÃO COLETIVA DA CATEGORIA,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,Cartão CNPJ,A vencer,2026-12-23T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-06-21T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,Comprovante de Inscrição Sintegra,A vencer,2026-12-23T00:00:00Z,NÃO ANALISADO
