Razão Social,CNPJ,Situação da Última Solicitação,Linhas de Fornecimento,Tipo,Situação Documento,Documento,Marcas e Representações,Status,Data de Vencimento,Situação Análise Documento
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,NEUTRO,CERTIDÃO NEGATIVA RECEITA ESTADUAL,,Vencido,2026-03-22T00:00:00-04:00,APROVADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,CERTIDÃO NEGATIVA RECEITA MUNICIPAL,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,REGULAR,CERTIFICADO DE REGULARIDADE FGTS,,Vencido,2026-01-18T00:00:00-04:00,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,CIPA - composição / reuniões / atas/ treinamento,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,REGULAR,CND Federal,,Vencido,2026-06-08T00:00:00-04:00,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,CONSULTA ATUALIZADA DE OPTANTE DO SIMPLES NACIONAL,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,CONVENÇÃO COLETIVA DA CATEGORIA,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,REGULAR,Cartão CNPJ,,A vencer,2026-12-23T00:00:00-04:00,NÃO ANALISADO
